N7_indexes,N5_wells,P7_rows,P5_columns,sample_name,genome
1:96,P1-A01:P1-H01,"E,F,G","1,2,3",sample.1,mouse
1:96,P1-A02:P1-H02,"E,F,G","1,2,3",sample.2,mouse
1:96,P1-A03:P1-H03,"E,F,G","1,2,3",sample.3,mouse
1:96,P1-A04:P1-H04,"E,F,G","1,2,3",sample.4,human
1:96,P1-A05:P1-H05,"E,F,G","1,2,3",sample.5,macaque
1:96,P1-A06:P1-H06,"E,F,G","1,2,3",sample.6,mouse
1:96,P1-A07:P1-H07,"E,F,G","1,2,3",sample.7,mouse
1:96,P1-A08:P1-H08,"E,F,G","1,2,3",sample.8,mouse
1:96,P1-A09:P1-H09,"E,F,G","1,2,3",sample.9,human
1:96,P1-A10:P1-A10,"E,F,G","1,2,3",sample.10,macaque
1:96,P1-A11:P1-H11,"E,F,G","1,2,3",sample.11,macaque
1:96,P1-A12:P1-H12,"E,F,G","1,2,3",sample.12,barnyard
